BlockGroupID,total_reg,party_rep,party_npp,party_dem,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_81,eth2_34,eth2_10,eth2_30,eth2_unk
300710602001,600,306,170,124,0,0,513,4,0,3,3,77,513,4,0,2,0,0,77
300710602002,612,274,194,144,0,0,498,19,0,1,8,86,498,19,3,5,0,0,86
300710602003,749,413,208,128,0,0,601,13,1,5,20,109,601,13,4,7,0,0,109
300710602004,515,334,111,70,0,0,422,4,0,6,4,79,422,3,1,2,0,1,79
300850801001,451,156,194,101,0,0,369,20,0,1,6,55,369,20,6,0,1,0,55
300850801002,513,206,224,83,0,0,436,3,0,1,12,61,436,3,0,12,0,0,61
300859400011,429,110,247,72,0,0,316,8,1,2,21,81,316,8,20,0,1,0,81
300859400012,307,24,209,74,0,0,211,19,0,4,24,49,211,19,22,0,0,0,49
300859400013,404,58,256,90,0,0,277,21,0,3,18,85,277,21,15,0,0,2,85
300859400014,924,201,506,217,0,0,686,29,0,14,31,164,686,29,26,0,1,3,164
300859400015,290,42,180,68,0,0,205,11,0,4,9,61,205,11,9,0,1,0,61
300859400021,448,71,283,94,0,0,322,10,0,3,32,81,322,10,31,0,1,0,81
300859400022,1121,212,693,216,0,0,761,35,1,2,82,240,761,35,76,0,1,0,240
300859400023,550,61,378,111,0,0,335,15,0,6,59,135,335,15,57,1,2,0,135
300270301001,854,592,128,134,0,0,738,5,0,2,11,98,738,5,2,4,0,1,98
300270301002,808,541,164,103,0,0,697,5,0,0,11,95,697,5,0,1,0,0,95
300270301003,963,559,129,275,0,0,850,7,0,4,11,91,850,7,0,3,1,2,91
300270301004,763,485,125,153,0,0,659,6,0,1,5,92,659,4,0,3,1,2,92
300270302011,593,290,185,118,0,0,520,12,0,2,4,55,520,11,0,2,0,0,55
300270302012,593,301,162,130,0,0,499,8,0,4,5,77,499,8,0,1,0,0,77
300270302013,818,440,176,202,0,0,718,11,0,6,6,77,718,11,0,1,2,1,77
300270302021,536,257,170,109,0,0,475,7,0,2,4,48,475,7,0,0,1,1,48
300270302022,675,353,207,115,0,0,584,6,0,3,10,72,584,6,0,6,1,0,72
300270302023,512,287,146,79,0,0,432,4,0,4,2,70,432,4,0,1,2,0,70
301070001001,738,326,299,113,0,0,633,5,0,5,2,93,633,5,0,1,1,0,93
301070001002,374,184,127,63,0,0,329,2,0,4,0,39,329,2,0,0,0,0,39
301110002001,567,101,288,178,0,0,441,29,0,2,9,86,441,29,3,2,2,0,86
301110002002,658,131,362,165,0,0,513,32,3,8,10,92,513,32,2,3,3,0,92
301110002003,302,51,208,43,0,0,222,14,1,0,7,58,222,14,3,1,0,2,58
301110003001,242,42,135,65,0,0,165,23,2,1,7,44,165,23,3,0,1,2,44
301110003002,589,111,336,142,0,0,435,53,6,3,6,86,435,53,4,1,3,0,86
301110003003,453,84,239,130,0,0,316,60,0,3,12,62,316,59,8,1,0,1,62
301110003004,461,163,186,112,0,0,344,45,1,3,4,64,344,44,1,1,1,2,64
301110004011,560,138,287,135,0,0,440,37,1,3,8,71,440,37,3,2,1,2,71
301110004012,936,341,299,296,0,0,792,24,0,8,13,99,792,24,0,1,1,4,99
301110004021,476,169,108,199,0,0,383,11,0,8,8,66,383,11,1,0,3,2,66
301110004022,725,202,270,253,0,0,579,36,0,2,6,102,579,36,3,1,1,0,102
301110004023,438,45,315,78,0,0,341,23,4,2,14,54,341,23,5,3,0,5,54
301110005001,861,386,193,282,0,0,725,16,3,4,5,108,725,16,0,1,1,0,108
301110005002,571,216,218,137,0,0,459,22,0,9,9,72,459,22,2,3,4,1,72
301110005003,670,292,224,154,0,0,537,32,0,7,13,81,537,32,3,6,1,2,81
301110005004,395,118,161,116,0,0,319,17,0,3,9,47,319,17,3,2,2,1,47
301110006001,564,279,65,220,0,0,487,8,0,4,7,58,487,8,0,7,1,0,58
301110006002,642,277,143,222,0,0,533,10,0,10,13,76,533,10,1,2,3,3,76
301110006003,496,287,28,181,0,0,418,11,0,7,10,50,418,11,1,5,3,0,50
301110007011,1636,977,245,414,0,0,1377,40,0,13,22,184,1377,40,0,4,4,6,184
301110007012,962,526,175,261,0,0,764,32,2,8,13,143,764,29,3,5,3,1,143
301110007013,831,341,326,164,0,0,681,25,0,6,11,108,681,25,2,3,3,2,108
301110007041,693,391,103,199,0,0,571,22,0,10,11,79,571,20,0,4,2,4,79
301110007042,827,429,187,211,0,0,688,30,0,11,15,83,688,29,1,4,4,2,83
301110007043,902,446,140,316,0,0,745,34,3,4,1,115,745,33,0,0,1,0,115
301110007051,491,168,202,121,0,0,397,27,0,1,8,58,397,27,2,2,0,0,58
301110007052,754,418,151,185,0,0,599,25,2,9,6,113,599,25,0,2,0,3,113
301110007053,808,486,132,190,0,0,677,12,0,1,11,107,677,12,2,3,0,4,107
301110007061,477,158,227,92,0,0,381,18,0,2,10,66,381,18,2,2,1,4,66
301110007062,494,260,108,126,0,0,404,13,0,9,9,59,404,13,1,2,2,4,59
301110007063,411,83,239,89,0,0,348,18,0,2,5,38,348,18,3,0,0,1,38
301110007064,976,349,478,149,0,0,805,29,0,8,17,117,805,28,3,3,1,3,117
301110007071,797,438,201,158,0,0,652,33,1,2,8,101,652,32,1,0,2,5,101
301110007072,1072,633,196,243,0,0,898,30,0,16,8,120,898,29,0,5,5,0,120
301110007073,351,199,82,70,0,0,308,8,0,0,0,35,308,8,0,0,0,0,35
301110007074,1171,554,371,246,0,0,964,31,0,7,13,156,964,31,5,3,1,0,156
301110007081,1125,531,334,260,0,0,911,41,0,6,24,143,911,41,14,8,2,1,143
301110008001,551,288,171,92,0,0,462,17,0,0,1,71,462,17,0,0,0,1,71
301110008002,830,442,235,153,0,0,695,26,1,3,16,89,695,26,5,6,1,1,89
301110008003,868,443,255,170,0,0,719,29,0,6,14,100,719,29,4,3,2,3,100
301110009011,526,219,180,127,0,0,405,34,0,3,7,77,405,34,4,2,1,1,77
301110009012,436,179,152,105,0,0,344,29,0,3,6,54,344,29,2,0,0,1,54
301110009013,1499,655,547,297,0,0,1200,47,1,13,28,210,1200,47,4,5,3,6,210
301110009021,448,143,225,80,0,0,355,32,0,6,3,52,355,31,2,0,3,1,52
301110009022,510,155,235,120,0,0,402,44,0,0,8,56,402,43,3,1,0,1,56
301110009023,435,174,172,89,0,0,324,38,2,1,8,62,324,38,6,0,1,0,62
301110009024,846,355,327,164,0,0,683,41,5,3,11,103,683,41,5,1,0,2,103
301110010001,626,163,340,123,0,0,487,32,0,1,8,98,487,32,1,2,0,0,98
301110010002,383,83,213,87,0,0,282,33,0,1,3,64,282,32,1,0,0,0,64
301110010003,315,89,144,82,0,0,253,15,0,1,2,44,253,15,1,0,0,1,44
301110010004,421,208,142,71,0,0,346,12,2,0,7,54,346,11,4,3,0,0,54
301110010005,452,205,148,99,0,0,370,20,0,4,3,55,370,20,1,0,2,0,55
301110011001,884,328,329,227,0,0,741,25,0,5,11,102,741,24,0,4,0,4,102
301110011002,734,299,267,168,0,0,614,26,0,5,4,85,614,24,0,1,3,1,85
301110011003,567,228,239,100,0,0,459,20,0,6,9,73,459,19,6,2,0,0,73
301110011004,805,343,273,189,0,0,655,30,0,14,12,94,655,30,1,1,6,0,94
301110012001,934,411,262,261,0,0,782,17,1,5,13,116,782,16,3,0,1,4,116
301110012002,866,400,175,291,0,0,714,21,0,4,9,118,714,21,1,5,1,1,118
301110013001,1145,571,130,444,0,0,956,22,1,10,24,132,956,20,0,12,1,5,132
301110013002,697,324,114,259,0,0,585,22,0,2,16,72,585,22,1,1,1,1,72
301110013003,683,309,184,190,0,0,580,12,0,5,6,80,580,12,2,1,2,1,80
301110013004,994,604,50,340,0,0,822,25,0,4,17,126,822,25,2,4,1,1,126
301110013005,851,497,41,313,0,0,729,15,0,11,5,91,729,15,1,4,2,0,91
301110014021,801,500,123,178,0,0,654,27,1,4,5,110,654,27,2,1,1,0,110
301110014022,992,535,247,210,0,0,822,12,1,8,6,143,822,12,0,3,4,3,143
301110014023,771,542,30,199,0,0,619,16,0,12,13,111,619,16,0,4,4,0,111
301110014024,1750,1126,158,466,0,0,1461,62,0,10,21,196,1461,62,5,2,7,4,196
301110014031,745,458,104,183,0,0,601,13,0,2,11,118,601,12,0,9,2,1,118
301110014032,2378,1420,458,500,0,0,2011,52,0,20,21,274,2011,52,1,3,7,6,274
301110014033,1607,982,258,367,0,0,1363,23,0,8,15,198,1363,23,1,2,2,2,198
301110014041,2280,1382,314,584,0,0,1872,47,2,20,28,311,1872,45,1,7,6,12,311
301110014042,1082,501,273,308,0,0,879,28,1,11,14,149,879,28,3,0,4,1,149
301110014043,883,489,172,222,0,0,730,23,0,1,13,116,730,23,0,6,0,1,116
301110014044,1242,740,202,300,0,0,1017,33,0,10,8,174,1017,33,0,1,2,2,174
301110015011,1430,942,219,269,0,0,1217,28,2,3,28,152,1217,28,10,6,1,0,152
301110015012,579,354,113,112,0,0,497,7,0,0,11,64,497,7,3,2,0,2,64
301110015013,984,629,190,165,0,0,840,16,0,2,6,120,840,16,0,1,2,2,120
301110015021,853,476,226,151,0,0,687,36,0,2,9,119,687,36,2,5,2,0,119
301110015022,687,418,159,110,0,0,571,16,0,2,6,92,571,16,4,0,2,0,92
301110015023,1129,696,239,194,0,0,968,18,0,6,20,117,968,18,4,5,0,2,117
301110017021,667,305,186,176,0,0,539,32,1,6,7,82,539,32,1,0,5,0,82
301110017022,513,238,129,146,0,0,416,22,0,1,7,67,416,22,0,2,1,1,67
301110017023,451,197,163,91,0,0,378,19,2,1,8,43,378,19,2,3,0,1,43
301110017024,760,401,181,178,0,0,620,30,0,3,11,96,620,30,3,2,2,1,96
301110017031,1057,610,246,201,0,0,917,15,0,8,6,111,917,15,1,1,0,0,111
301110017032,954,363,375,216,0,0,771,47,2,3,16,115,771,47,4,5,0,2,115
301110017033,979,387,359,233,0,0,815,24,0,9,23,108,815,24,9,5,2,4,108
301110017041,555,202,264,89,0,0,437,27,0,3,18,70,437,25,3,5,1,4,70
301110017042,526,165,272,89,0,0,428,18,1,3,3,73,428,18,2,1,2,0,73
301110017043,411,268,66,77,0,0,354,12,0,1,4,40,354,12,1,3,1,0,40
301110017044,1066,516,291,259,0,0,890,18,2,7,9,140,890,18,1,3,1,0,140
301110018011,1637,1002,26,609,0,0,1359,33,0,25,23,197,1359,31,0,11,6,0,197
301110018012,2533,1566,133,834,0,0,2086,60,2,32,53,300,2086,59,0,17,13,6,300
301110018013,952,551,34,367,0,0,788,20,0,6,10,128,788,20,0,4,2,2,128
301110018031,433,221,101,111,0,0,367,18,0,0,0,48,367,18,0,0,0,0,48
301110018032,857,425,236,196,0,0,684,18,0,9,11,135,684,18,1,6,2,4,135
301110018041,750,372,177,201,0,0,611,31,0,4,19,85,611,31,3,7,0,4,85
301110018042,742,422,134,186,0,0,627,15,5,6,8,81,627,15,1,2,2,0,81
301110018043,459,222,116,121,0,0,372,11,0,1,3,72,372,10,2,1,0,0,72
301110018051,1187,722,126,339,0,0,1010,19,0,7,10,141,1010,18,0,1,6,4,141
301110018052,1005,609,82,314,0,0,844,18,1,10,9,123,844,18,0,5,5,1,123
301110018061,663,413,57,193,0,0,557,9,0,4,15,78,557,9,0,9,1,0,78
301110018062,898,383,241,274,0,0,758,20,0,8,10,102,758,20,0,4,4,1,102
301110019011,1392,862,224,306,0,0,1173,30,0,8,9,172,1173,30,0,3,3,1,172
301110019012,418,164,180,74,0,0,360,9,0,2,4,43,360,9,0,2,0,1,43
301110019013,714,356,207,151,0,0,594,17,0,0,7,96,594,17,1,2,0,2,96
301110019014,341,127,153,61,0,0,288,7,1,3,3,39,288,7,0,1,2,1,39
301110019021,927,627,96,204,0,0,789,21,0,4,9,104,789,21,0,1,1,2,104
301110019022,781,382,253,146,0,0,673,21,0,5,6,76,673,20,0,1,1,1,76
301110019023,602,291,213,98,0,0,512,19,1,3,4,63,512,18,1,0,0,2,63
301119400011,866,448,220,198,0,0,689,29,0,4,26,118,689,29,20,2,1,1,118
301119400012,1251,712,261,278,0,0,1069,22,0,4,14,142,1069,21,1,6,1,1,142
301119400013,973,673,54,246,0,0,812,16,0,9,9,127,812,16,0,3,5,1,127
301119400021,1392,950,121,321,0,0,1182,35,0,10,14,151,1182,35,1,7,3,1,151
301119400022,811,515,135,161,0,0,714,17,0,2,2,76,714,16,0,1,2,0,76
300110003001,490,302,125,63,0,0,424,5,0,1,2,58,424,5,0,2,1,0,58
300110003002,406,279,69,58,0,0,339,3,0,0,4,60,339,3,0,4,0,0,60
300250001001,607,416,116,75,0,0,507,2,0,2,2,94,507,2,0,1,2,1,94
300250001002,524,296,146,82,0,0,431,5,1,6,2,79,431,5,0,1,6,0,79
300250001003,479,279,139,61,0,0,385,7,0,6,6,75,385,7,0,3,3,0,75
300359402001,213,7,0,206,0,0,103,3,1,0,39,67,103,3,38,1,0,0,67
300359402002,1880,32,0,1848,0,0,997,66,7,8,269,533,997,66,265,0,3,3,533
300359402003,733,20,0,713,0,0,444,13,2,1,101,172,444,13,99,1,0,0,172
300359402004,157,2,0,155,0,0,96,4,0,0,18,39,96,4,18,0,0,0,39
300359404001,301,11,0,290,0,0,238,4,0,1,11,47,238,4,10,0,1,0,47
300359404002,1238,40,0,1198,0,0,684,24,6,2,220,302,684,24,214,2,0,1,302
300359404003,179,8,1,170,0,0,115,2,0,1,19,42,115,2,19,0,1,0,42
300359404004,230,8,1,221,0,0,157,3,1,3,16,50,157,3,15,1,0,0,50
300359404005,315,26,1,288,0,0,214,0,0,1,16,84,214,0,10,1,0,0,84
300359760001,477,65,0,412,0,0,383,11,0,4,12,67,383,11,10,0,0,2,67
300359760002,375,38,0,337,0,0,285,10,0,4,15,61,285,10,11,0,1,0,61
300359760003,363,33,1,329,0,0,284,7,0,0,13,59,284,7,12,1,0,0,59
300359760004,545,66,2,477,0,0,423,14,2,6,17,83,423,14,14,0,2,1,83
300359760005,525,81,0,444,0,0,452,7,0,5,7,54,452,7,3,0,0,2,54
300359800001,89,1,0,88,0,0,69,2,0,0,4,14,69,2,3,0,0,1,14
300979670001,596,365,94,137,0,0,519,4,0,7,1,65,519,4,1,0,0,0,65
300979670002,372,191,87,94,0,0,314,7,0,2,4,45,314,7,0,0,0,0,45
300979670003,332,182,74,76,0,0,293,4,0,2,1,32,293,4,0,0,1,0,32
300979670004,616,403,104,109,0,0,525,5,0,0,13,73,525,5,0,5,0,1,73
300979670005,661,334,203,124,0,0,550,15,1,4,8,83,550,14,0,1,0,0,83
300410401001,850,278,380,192,0,0,679,11,8,9,5,138,679,11,1,0,8,1,138
300410402001,1156,412,483,261,0,0,940,18,2,9,26,161,940,18,10,8,3,0,161
300410403001,305,55,179,71,0,0,250,10,1,4,6,34,250,10,3,3,1,0,34
300410403002,460,70,274,116,0,0,374,16,0,5,5,60,374,16,3,0,0,0,60
300410403003,167,30,97,40,0,0,140,1,0,3,1,22,140,1,0,0,0,0,22
300410403004,787,177,438,172,0,0,651,21,0,7,10,98,651,21,3,3,1,0,98
300410404001,824,265,339,220,0,0,678,20,0,6,17,103,678,20,3,10,1,0,103
300410404002,574,139,249,186,0,0,478,14,0,7,10,65,478,14,3,1,1,4,65
300410404003,489,101,263,125,0,0,413,16,0,4,2,54,413,16,1,0,0,0,54
300410404004,360,75,181,104,0,0,279,13,0,8,2,58,279,13,1,0,0,0,58
300410405001,345,72,194,79,0,0,299,7,0,3,1,35,299,7,0,1,1,0,35
300410405002,498,149,197,152,0,0,414,9,0,7,5,63,414,9,3,2,2,0,63
300410405003,571,171,215,185,0,0,445,6,0,8,7,105,445,6,3,3,1,0,105
300419403001,1042,179,558,305,0,0,669,37,0,7,103,226,669,37,82,0,1,1,226
301039635001,658,386,148,124,0,0,580,7,0,1,7,63,580,7,1,5,1,0,63
300090001001,477,321,64,92,0,0,408,4,0,0,6,59,408,4,0,6,0,0,59
300090001002,402,196,122,84,0,0,329,16,0,2,6,49,329,16,0,2,1,0,49
300090001003,981,585,199,197,0,0,789,12,1,6,18,155,789,10,1,10,3,4,155
300090002001,666,388,172,106,0,0,544,13,0,1,9,99,544,13,1,8,1,0,99
300090002002,494,266,148,80,0,0,417,7,0,1,8,61,417,7,0,4,0,1,61
300090003001,1098,445,336,317,0,0,900,17,0,11,24,146,900,17,0,9,6,1,146
300090003002,431,140,153,138,0,0,372,4,0,2,14,39,372,4,0,6,1,1,39
300090003003,429,191,123,115,0,0,363,8,0,5,5,48,363,8,0,0,1,0,48
300090004001,847,464,212,171,0,0,711,29,0,2,11,94,711,25,0,6,0,1,94
300090004002,548,284,117,147,0,0,457,5,0,5,1,80,457,5,0,0,1,0,80
300090004003,496,221,101,174,0,0,415,5,0,5,9,62,415,5,0,0,3,0,62
300090005001,929,506,243,180,0,0,778,20,0,0,8,123,778,19,0,2,0,2,123
301051001001,412,225,124,63,0,0,362,3,0,0,1,46,362,3,0,0,0,0,46
301051001002,565,249,174,142,0,0,466,8,0,8,5,78,466,8,0,1,2,0,78
301051005001,696,262,269,165,0,0,582,17,0,4,9,84,582,17,0,0,2,2,84
301051005002,678,201,330,147,0,0,554,22,1,2,3,96,554,22,0,1,2,0,96
301051005003,404,165,158,81,0,0,335,9,0,1,6,53,335,9,1,0,0,2,53
301059406001,549,231,211,107,0,0,457,15,0,2,7,68,457,15,0,1,0,0,68
301059406002,654,283,263,108,0,0,478,20,0,4,8,144,478,20,7,0,0,0,144
301059406003,782,317,301,164,0,0,642,7,1,10,10,112,642,7,1,0,0,0,112
300210001001,457,313,71,73,0,0,391,0,0,3,0,63,391,0,0,0,0,0,63
300210001002,627,405,107,115,0,0,530,8,0,3,13,73,530,7,0,4,1,4,73
300210002001,389,200,113,76,0,0,313,7,0,0,7,62,313,7,0,2,0,5,62
300210002002,570,314,154,102,0,0,481,7,0,2,4,76,481,7,0,0,1,2,76
300210002003,717,443,141,133,0,0,629,8,0,2,3,75,629,8,2,0,0,0,75
300210003001,1032,557,198,277,0,0,842,19,0,10,16,145,842,14,1,6,3,2,145
300210003002,353,143,98,112,0,0,299,12,0,0,1,41,299,12,0,1,0,0,41
300210003003,336,155,127,54,0,0,278,4,0,2,2,50,278,3,0,0,1,0,50
300210003004,378,185,127,66,0,0,318,10,0,1,4,45,318,10,0,0,0,4,45
300210003005,401,220,87,94,0,0,341,8,0,2,3,47,341,8,0,2,1,0,47
300910902001,449,217,138,94,0,0,373,7,0,1,2,66,373,7,0,0,1,1,66
300910902002,550,307,136,107,0,0,443,8,0,3,11,85,443,8,0,0,3,0,85
300910902003,540,337,114,89,0,0,463,5,0,5,1,66,463,5,0,0,4,1,66
300910904001,708,420,149,139,0,0,603,6,0,2,6,91,603,6,0,0,2,1,91
300450001001,619,359,152,108,0,0,556,5,0,3,9,46,556,5,0,2,0,0,46
300450001002,703,385,217,101,0,0,569,4,0,3,14,113,569,4,0,6,2,0,113
300790001001,684,427,168,89,0,0,560,13,0,5,6,100,560,13,0,2,1,0,100
300870001001,587,341,140,106,0,0,515,4,0,1,3,64,515,4,0,0,1,0,64
300870001002,822,451,234,137,0,0,703,15,0,3,4,97,703,15,0,0,1,0,97
300870002001,398,205,127,66,0,0,341,5,0,1,3,48,341,5,1,0,0,0,48
300870002002,528,188,226,114,0,0,382,11,1,7,24,103,382,11,23,1,2,0,103
300870003001,494,257,99,138,0,0,403,19,0,3,10,59,403,19,4,1,1,2,59
300870003002,665,361,155,149,0,0,577,10,0,4,11,63,577,10,6,0,3,3,63
300879404001,65,5,43,17,0,0,29,7,0,1,8,20,29,7,7,0,1,1,20
300879404002,1096,163,690,243,0,0,466,47,0,5,208,370,466,47,204,0,4,3,370
300630001001,1533,443,276,814,0,0,1265,34,1,17,25,191,1265,34,0,12,7,5,191
300630001002,962,346,119,497,0,0,826,17,3,7,7,102,826,17,0,0,5,5,102
300630001003,705,68,276,361,0,0,593,10,0,7,4,91,593,10,1,0,0,1,91
300630001004,327,10,238,79,0,0,248,17,0,3,9,50,248,17,4,1,0,2,50
300630001005,1408,272,444,692,0,0,1184,26,0,12,16,170,1184,26,2,2,5,7,170
300630002031,989,76,622,291,0,0,824,18,0,8,10,129,824,16,1,2,1,4,129
300630002032,1017,64,636,317,0,0,845,31,1,4,14,122,845,31,3,5,0,2,122
300630002033,948,62,677,209,0,0,792,22,1,6,14,113,792,22,5,7,4,0,113
300630002041,890,59,594,237,0,0,715,22,0,8,11,134,715,22,2,1,0,4,134
300630002042,755,61,511,183,0,0,616,22,1,5,12,99,616,21,5,2,2,0,99
300630002043,538,41,376,121,0,0,425,15,0,6,5,87,425,15,1,2,1,1,87
300630002051,727,171,343,213,0,0,575,30,1,6,12,103,575,26,0,5,1,1,103
300630002052,1824,468,899,457,0,0,1517,35,0,20,19,233,1517,35,3,6,6,3,233
300630002053,752,115,450,187,0,0,625,15,1,9,14,88,625,15,1,1,1,4,88
300630002054,676,208,252,216,0,0,549,7,0,5,12,103,549,7,1,4,0,1,103
300630002061,793,88,567,138,0,0,659,20,0,9,10,95,659,19,1,5,1,0,95
300630002062,852,249,372,231,0,0,709,16,3,10,27,87,709,16,0,17,5,2,87
300630002063,2360,565,1147,648,0,0,1931,72,0,21,30,306,1931,68,5,8,8,8,306
300630002064,943,239,295,409,0,0,814,12,1,9,8,99,814,12,1,3,3,0,99
300630003001,683,31,439,213,0,0,550,19,0,6,7,101,550,18,0,3,3,1,101
300630003002,691,45,468,178,0,0,562,22,1,4,7,95,562,22,0,1,2,2,95
300630004001,792,130,433,229,0,0,645,29,0,2,12,104,645,29,0,5,0,2,104
300630004002,683,128,333,222,0,0,573,16,0,2,11,81,573,16,0,4,1,2,81
300630004003,564,123,231,210,0,0,466,12,0,8,7,71,466,12,0,1,2,0,71
300630005011,1002,143,367,492,0,0,834,20,0,12,10,126,834,20,1,2,4,2,126
300630005012,1040,112,439,489,0,0,862,17,0,14,13,134,862,16,3,0,3,2,134
300630005021,838,238,215,385,0,0,675,16,0,14,13,120,675,16,0,4,4,3,120
300630005022,643,119,231,293,0,0,514,12,1,7,12,97,514,12,1,0,2,6,97
300630007001,738,55,403,280,0,0,603,14,0,7,14,100,603,14,4,4,4,1,100
300630007002,732,62,384,286,0,0,604,20,0,8,11,89,604,20,0,6,2,2,89
300630007003,651,54,343,254,0,0,552,18,2,5,9,65,552,18,2,3,0,1,65
300630008011,525,42,367,116,0,0,431,17,0,3,7,67,431,17,1,2,0,2,67
300630008012,824,159,411,254,0,0,660,23,1,11,12,117,660,23,1,7,3,0,117
300630008013,776,100,479,197,0,0,640,18,0,3,14,101,640,16,4,3,0,6,101
300630008021,854,112,521,221,0,0,724,15,0,6,12,97,724,15,3,0,2,2,97
300630008022,1250,103,773,374,0,0,1048,14,1,14,21,152,1048,14,2,11,2,5,152
300630009011,642,158,243,241,0,0,538,7,0,7,8,82,538,7,0,5,3,1,82
300630009012,1241,283,562,396,0,0,1030,29,0,18,8,156,1030,29,0,3,5,2,156
300630009013,968,261,346,361,0,0,816,21,2,11,12,106,816,20,1,4,5,0,106
300630009014,972,309,372,291,0,0,827,11,0,11,11,112,827,11,0,8,6,2,112
300630009015,455,117,227,111,0,0,374,11,0,3,10,57,374,10,3,0,0,0,57
300630009021,832,221,277,334,0,0,699,14,0,8,12,99,699,12,0,2,3,4,99
300630009022,916,264,368,284,0,0,784,17,2,4,13,96,784,17,1,0,0,7,96
300630010011,668,68,409,191,0,0,558,13,0,6,11,80,558,13,2,3,1,4,80
300630010012,1032,159,610,263,0,0,845,27,2,7,12,139,845,26,1,3,2,2,139
300630010013,677,87,450,140,0,0,562,18,0,5,6,86,562,18,1,2,2,2,86
300630010021,1091,123,677,291,0,0,898,27,1,17,9,139,898,27,1,4,5,2,139
300630011001,605,48,306,251,0,0,482,12,1,7,10,93,482,12,1,0,2,3,93
300630011002,1401,117,804,480,0,0,1126,46,2,14,20,193,1126,44,3,7,4,2,193
300630011003,652,72,328,252,0,0,525,15,1,8,7,96,525,15,1,2,3,2,96
300630012001,816,86,389,341,0,0,663,11,1,8,17,116,663,10,2,10,5,4,116
300630012002,736,68,424,244,0,0,598,14,0,5,4,115,598,14,2,0,2,1,115
300630012003,768,151,316,301,0,0,655,11,0,7,4,91,655,10,0,0,2,2,91
300630012004,1172,145,628,399,0,0,974,32,0,10,16,140,974,32,5,5,5,1,140
300630013021,1480,570,212,698,0,0,1224,43,0,17,24,172,1224,42,1,5,6,10,172
300630013022,911,202,334,375,0,0,755,15,2,9,11,119,755,13,1,3,0,0,119
300630013023,956,411,118,427,0,0,802,14,0,16,22,102,802,14,0,10,10,2,102
300630013024,680,116,298,266,0,0,568,10,0,9,14,79,568,10,1,4,1,4,79
300630013025,837,181,369,287,0,0,687,25,0,8,15,102,687,25,6,4,1,2,102
300630013031,983,211,503,269,0,0,827,14,0,5,19,118,827,13,3,2,1,4,118
300630013032,953,198,437,318,0,0,779,18,0,9,19,128,779,18,0,12,1,3,128
300630013033,837,139,420,278,0,0,660,25,0,0,28,124,660,24,7,12,0,2,124
300630013034,635,84,370,181,0,0,511,25,0,7,7,85,511,25,1,4,7,1,85
300630013041,750,205,279,266,0,0,619,10,0,12,10,99,619,10,0,4,3,2,99
300630013042,1240,627,169,444,0,0,1008,23,3,17,13,176,1008,23,0,9,5,0,176
300630013043,881,179,398,304,0,0,725,15,1,14,12,114,725,14,1,6,6,3,114
300630013044,590,170,207,213,0,0,477,9,0,6,21,77,477,9,5,5,0,1,77
300630013045,1386,355,515,516,0,0,1104,37,3,25,15,202,1104,37,2,1,6,0,202
300630014011,1242,481,198,563,0,0,1053,13,2,13,17,144,1053,13,2,8,3,3,144
300630014012,420,57,262,101,0,0,339,12,0,2,9,58,339,12,4,4,0,0,58
300630014013,318,64,187,67,0,0,270,6,0,0,5,37,270,6,0,0,0,1,37
300630014021,1292,323,522,447,0,0,1096,32,1,11,7,145,1096,32,2,3,2,0,145
300630014022,1085,275,526,284,0,0,909,22,0,7,22,125,909,22,1,3,1,4,125
300630015011,1416,398,694,324,0,0,1191,22,0,11,12,180,1191,22,0,6,4,0,180
300630015021,666,199,291,176,0,0,557,9,0,2,5,93,557,9,0,0,1,0,93
300630015022,1505,407,671,427,0,0,1281,23,0,7,14,180,1281,22,1,6,0,1,180
300630015023,944,240,453,251,0,0,811,18,0,6,9,100,811,16,0,4,0,1,100
300630016011,1560,506,733,321,0,0,1324,21,0,14,14,187,1324,21,2,6,3,2,187
300630016012,1476,428,667,381,0,0,1242,32,1,24,18,159,1242,32,1,5,3,7,159
300630016021,1128,348,487,293,0,0,951,8,0,2,7,160,951,8,0,3,0,0,160
300630016022,1127,356,437,334,0,0,942,22,1,8,9,145,942,20,0,3,3,4,145
300630018011,574,183,244,147,0,0,468,17,0,4,6,79,468,17,0,4,1,0,79
300630018012,508,131,248,129,0,0,404,16,0,0,4,84,404,16,3,0,0,0,84
300630018021,571,142,308,121,0,0,488,14,0,2,5,62,488,12,0,4,1,1,62
300630018022,692,209,298,185,0,0,582,10,0,3,5,92,582,9,0,2,0,0,92
300630018023,328,80,164,84,0,0,276,2,0,6,2,42,276,2,0,1,1,1,42
300630018024,730,220,377,133,0,0,612,14,0,3,4,97,612,14,0,1,0,2,97
300890001001,1363,789,354,220,0,0,1195,16,0,6,7,139,1195,16,0,0,3,0,139
300890001002,871,444,258,169,0,0,774,21,0,3,3,70,774,21,0,2,0,0,70
300890001003,421,227,129,65,0,0,360,11,0,0,3,47,360,11,0,2,0,1,47
300890002011,793,479,199,115,0,0,687,7,0,6,4,89,687,7,0,1,4,0,89
300890002012,649,322,213,114,0,0,557,13,0,4,7,68,557,12,0,0,1,2,68
300890002021,1283,671,411,201,0,0,1119,24,0,11,8,121,1119,22,0,3,0,0,121
